Question,Answers
What is your name?,My name is Deep.
What is your Email address, pateldeep494@gmail.com 
Who is your sister?,Krishna Patel
Who are your parents?,Anita and Anil Patel
What University did you go to?,Towson University
Where did you get your Bachelor's degree?,Towson University
What is your highest education?,Bachelor of Science in Computer Science
What was your major?,Computer Science
What are your achievements in college,"I was on Dean’s list for years 2017, 2018, 2019 and International Admissions Scholarship recipient at Towson University. "
What was your commulative GPA?,"3.98 out of 4.0, I have stright A's."
GPA in college?,"3.98 out of 4.0, I have straight A's."
Any AWS experience?,"He built an intelligent Chrome extension for the Johns Hopkins
University of Applied Physics Laboratory to prevent accidental Visitation t0 malicious websites.
Implemented LSTM neural network to detect malicious websites and deployed it on AWS to make an
API call from the extension."
What is your github username?,www.github.com/deepsworld
What programming languages does he know?,> JAVA (Expert) > Python (Advanced) > C++ (1 year) > JavaScript (1 year) > HTML (1 year) > Scala (self-taught) and SQL (2 years).
Any technological skills? ,"TensorFlow, Keras, Git, Flask, Android, Windows, Linux, AWS(Basic), Google Cloud
(Basic). "
What are you mostly interested in?,"I am interested in Data Science, Machine Learning and Deep Learning."
When did you graduate?,19-May
What positions are your interested in?,Data Scientist or Machine Learning Engineer
hi,"Hey
"
Hello,Yes human being!
Who are you?,I was made by Deep to assist him
Are you smart,It depends…
